country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Liechtenstein,,,,,,,,,,,5120,6500,8210,10150,11190,12370,14760,18510,22610,22610,20320,18770,19010,19730,22860,31170,41500,43620,45480,47580,54350,56710,61990,70060,78590,80150,77640,78650,78870,68240,65060,68450,78680,92730,104070,112190,121890,116430,,,,,,,,,,
Sri Lanka,,130,130,130,150,170,160,170,170,170,180,210,250,270,260,260,240,260,280,300,310,310,330,370,410,430,460,440,460,490,550,600,640,690,740,800,820,840,870,830,840,940,1060,1210,1360,1550,1790,2010,2410,2850,3360,3490,3640,3760,3810,3880,4060,
Lower middle income,,,,,,120.420763,120.0174135,129.6266687,140.429957,146.7271255,154.0163136,176.1642872,214.4440118,251.0822425,264.4507498,279.3297042,307.8117751,344.9845461,409.012838,454.6429322,467.1106657,459.7433587,433.5744943,426.4823523,439.3424048,475.9704844,508.6225341,499.2976761,492.1971278,472.6278408,473.8616918,459.5504377,475.2079618,512.348753,558.4056961,575.4556732,533.6927316,538.2346763,546.2233206,567.8073564,581.6875915,640.0737084,743.9355133,846.3774249,956.6824258,1110.287063,1277.292023,1388.456251,1523.584927,1678.191689,1867.829956,1969.921068,2034.516581,2032.084086,2055.319131,2105.825245,2244.534199,
Low & middle income,,,,,171.4075853,171.6040029,176.3997815,191.8635454,207.6937357,219.5392596,237.2483501,284.3272535,352.2798484,416.9470904,438.4494343,457.3829202,491.6862167,565.3380356,647.8414301,699.7348937,696.5060388,657.6688287,644.2851243,656.0343927,688.5618752,739.3101069,778.7153547,780.399286,811.0649905,857.0676251,891.8976464,912.894104,942.6500331,1010.079645,1098.776479,1163.681862,1124.891446,1104.56022,1144.674754,1153.233742,1170.49086,1271.330942,1475.658082,1716.557983,1991.463981,2356.476732,2777.00955,2987.4397,3331.462962,3698.383673,4185.870549,4522.932213,4676.343279,4554.482746,4461.621853,4525.012174,4837.04208,
Lesotho,,,,,80,80,80,80,90,90,100,150,220,230,280,310,340,400,440,510,610,540,490,410,390,420,500,520,550,580,650,660,680,690,700,690,620,610,580,640,590,670,810,1020,1130,1300,1310,1230,1310,1430,1600,1550,1450,1400,1360,1300,1380,
Late-demographic dividend,,,,,189.78328,186.1109409,190.8929352,211.6646186,235.0799116,250.8426214,275.0509197,335.4606374,403.7293624,463.8287458,478.0768943,510.5955571,558.3096905,646.3680423,726.0133867,744.1095551,720.4477421,671.5279945,685.5054257,711.0039611,777.5583346,845.9079406,918.1280351,993.7732876,1018.065398,1138.155672,1156.047899,1178.9887,1218.386625,1379.197672,1565.710781,1703.014852,1650.563038,1587.371825,1633.206033,1644.313622,1721.032173,1916.317477,2274.657927,2688.037777,3187.25754,3876.904034,4699.486725,5130.19146,5768.632508,6497.773928,7472.27989,8273.61742,8669.837501,8486.52701,8322.796342,8488.612518,9254.329844,
Luxembourg,1630,1680,1870,1920,2020,2070,2240,2560,3030,3350,4070,5230,6890,7930,8510,9080,10650,12940,15480,15490,14930,13490,13060,13130,15610,20090,26020,28700,31500,35370,39210,40270,41570,46020,48610,50650,47100,46470,46460,45630,42630,46000,62800,73810,71580,86210,88000,71220,78220,76260,75450,75500,76470,74760,71200,70790,69420,
Morocco,,,,,,,220,240,250,270,290,350,440,540,580,600,650,780,980,960,940,790,730,680,770,860,1080,1110,1160,1240,1270,1230,1350,1300,1510,1460,1460,1410,1390,1400,1370,1540,1830,2070,2240,2380,2700,2880,2930,3000,2980,3090,3060,3020,2890,2870,3090,
Madagascar,130,130,140,140,150,160,170,170,180,180,190,210,260,310,300,310,310,390,460,430,390,360,320,300,290,280,260,230,240,220,230,240,240,230,240,250,250,240,250,260,230,280,290,290,280,330,400,410,420,420,430,440,440,420,400,400,440,
Mexico,360,390,440,480,510,560,610,640,680,730,820,990,1210,1460,1540,1480,1590,1890,2560,3270,3000,2400,2200,2270,2080,2040,2090,2370,2790,3250,3770,4490,5310,4790,4620,4660,5000,5510,6210,6740,7100,7360,7820,8050,8690,9250,9780,8820,9040,9310,10050,10270,10510,10170,9410,8940,9180,
Middle income,,,,,178.6964213,178.6926306,183.7154842,199.9214737,216.7333736,229.1307685,247.4687831,297.1893647,368.1713937,435.4795865,457.9588034,478.0863211,513.8834119,591.0561477,677.0561101,731.8433517,729.1163645,688.9846632,675.4534665,687.8220417,722.3245255,776.3996546,818.3283467,822.1211723,855.838804,906.18592,944.9834006,969.6209958,1005.21086,1079.808957,1176.855247,1247.800441,1206.089352,1184.766158,1228.726728,1238.777821,1258.262156,1369.331563,1592.036967,1855.731589,2158.045306,2559.482568,3021.24901,3252.906495,3633.771072,4042.90426,4584.244464,4958.964983,5131.83845,5003.416921,4909.01841,4986.594194,5339.717847,
Mali,,,,,,,,60,60,70,80,90,100,120,140,160,170,220,250,240,200,170,160,180,200,240,290,290,290,320,330,320,280,270,270,280,280,290,280,300,290,350,400,460,500,540,610,670,690,730,730,780,810,790,780,770,830,
Malta,,,,,,,,,,,1090,1260,1560,1990,2120,2320,2660,3300,4280,4670,4550,3940,3830,3690,4000,4930,6260,6910,7600,7940,8720,8570,8600,8990,9490,9890,9810,10510,10920,11160,11380,12510,14300,15660,16310,17720,19950,19520,20530,21420,21630,22650,24190,24640,23550,23530,26220,
Mauritania,,,,,,,190,180,190,190,190,230,320,340,350,360,380,430,470,480,440,420,400,380,400,440,490,510,480,540,610,640,580,600,660,590,570,580,530,480,490,530,620,720,870,960,1090,1120,1170,1240,1360,1450,1390,1270,1160,1120,1190,
Malawi,50,50,50,50,60,60,60,60,60,70,80,90,110,130,130,130,150,170,190,190,180,170,170,160,150,150,160,160,180,210,200,220,160,160,170,200,200,180,160,140,170,220,300,300,310,330,370,410,450,490,460,410,370,350,340,340,360,
Malaysia,240,250,270,300,320,330,340,350,370,390,440,570,750,860,920,970,1130,1450,1790,1930,1860,1810,1950,1920,1860,1960,2140,2260,2400,2560,2880,3230,3600,4050,4500,4620,3640,3380,3460,3550,3790,4160,4740,5270,5840,6630,7510,7600,8260,9050,10180,10840,11140,10610,10030,9810,10460,
North America,3224.6753,3354.107064,3542.190352,3804.255587,4111.818708,4282.215138,4645.813483,4965.869728,5122.708578,5505.522551,6157.178175,7171.2939,7908.816835,8462.141358,8945.631242,9549.41796,10666.35507,12047.10769,13214.24865,14172.28332,13993.97765,14337.76438,15910.25434,17121.44426,18666.1985,20900.17454,23018.2579,23384.62315,23725.40075,23951.12637,25260.91684,25885.0661,26990.31291,28233.06079,29340.79787,30299.02375,30942.875,32476.3815,34677.26103,35387.86325,35974.9879,38371.75642,42148.0888,45037.67507,46907.83519,47824.03136,48595.21818,47302.04795,48556.0294,50245.55398,52604.32616,53838.78712,55492.33627,55802.11349,55855.31983,57537.29939,61031.33278,
New Caledonia,,,,,,1830,2160,2520,3220,3420,3780,3990,5270,6400,6440,6580,6980,6900,7980,7940,7160,5920,5480,5510,6170,8070,13270,14530,14760,15200,16070,16340,16780,18220,18240,17810,15730,14810,14020,,,,,,,,,,,,,,,,,,,
Niger,150,160,160,170,170,170,160,150,150,160,150,160,210,230,220,230,280,350,410,400,350,290,210,220,250,270,330,320,300,290,280,230,200,180,190,190,190,180,170,170,160,190,210,250,260,270,320,330,350,360,380,400,410,390,370,360,380,
Nigeria,100,110,110,110,110,100,100,120,170,180,200,220,340,400,510,560,560,640,760,970,1260,1450,1130,970,790,710,680,550,560,510,510,360,310,310,390,440,440,460,470,530,630,710,870,1030,1350,1610,1960,2040,2140,2190,2460,2720,2990,2880,2470,2100,1960,
Nicaragua,140,150,160,200,230,290,290,310,310,320,330,380,510,570,600,680,650,500,600,660,680,680,700,690,750,860,680,360,310,220,240,290,450,610,880,880,880,930,960,970,960,1000,1080,1160,1200,1290,1390,1380,1460,1570,1690,1780,1850,1910,2000,2090,2030,
Netherlands,1220,1310,1460,1700,1840,2000,2230,2480,2820,3210,3850,5070,6370,7630,8350,9100,10460,12760,14830,14000,12350,11070,10730,10330,11690,14720,18570,19540,20320,21280,23520,24040,25370,27690,29750,29800,28260,28670,28810,27390,27020,30950,37280,42050,45910,49110,52670,53670,53900,54480,52930,52950,51980,49810,46900,46870,51260,
Norway,1610,1710,1860,2050,2240,2470,2630,2850,3120,3570,4230,5320,6750,8380,9150,9960,11110,13110,15650,16420,15750,14940,15150,15710,17550,20830,23970,25080,26510,27830,30790,30220,30860,32700,35800,37920,36110,35550,36560,38250,39900,44760,54110,63790,69980,78440,87480,87900,88560,90400,99200,104340,104540,93080,81620,76160,80790,
Nepal,50,50,50,50,70,80,70,70,70,70,80,80,100,110,120,120,120,130,140,160,150,140,160,160,170,180,200,210,210,210,200,190,200,200,210,220,210,220,230,240,240,260,280,310,340,370,430,480,540,610,700,750,770,780,770,850,960,
New Zealand,,,,,,,,,,,3030,3990,4930,4970,4650,4550,5230,6530,7670,8240,7860,7370,7010,6950,7840,10000,12550,13570,13640,12160,12050,12360,13400,15280,16730,17160,15780,15040,14080,13810,14170,16970,21500,25440,26400,28160,28670,29700,29690,32260,36720,39900,41650,40600,39410,38470,40820,
OECD members,1483.204026,1570.911404,1689.036084,1829.553258,1991.599823,2115.818969,2317.704484,2513.300375,2655.023303,2896.252508,3320.684974,4054.285901,4729.839769,5285.105672,5583.357095,5963.869413,6789.146681,8111.01439,9341.49909,9724.847137,9240.443822,8841.934252,9153.344836,9580.685725,10745.01411,12864.87124,15628.56014,16466.47778,17237.73636,17912.49091,19422.71885,19888.06378,20874.857,22179.85484,23188.71472,23292.28108,22483.14628,22789.35111,23779.62021,23748.60307,23617.37371,25418.00897,28991.35042,31931.7782,33496.98986,34759.71086,36195.29396,35524.53796,36466.38037,37630.92619,38786.27645,39417.44329,39529.20536,38389.82245,37483.25526,37627.55052,39989.02812,
Oman,,,,,,160,230,280,320,330,360,310,700,1510,2770,2720,2650,3070,3960,5480,6210,6160,6320,6560,5930,5390,5210,5660,5710,6040,6510,6280,6160,6270,6470,6810,6490,6380,7070,7920,7960,8250,9380,10620,11510,14490,17430,17740,18170,16930,19370,20320,19170,17850,16100,14450,15110,
Pakistan,90,100,100,120,130,140,150,160,180,180,180,160,150,160,190,220,260,300,350,390,400,390,380,380,370,400,430,420,420,420,440,450,450,480,500,490,460,450,480,480,500,540,620,700,790,870,970,1010,1030,1090,1200,1290,1320,1360,1420,1500,1580,
Panama,490,530,550,590,630,670,710,770,810,890,960,1090,1220,1370,1350,1360,1570,1760,2200,2410,2590,2530,2530,2820,2860,3280,2740,2570,2660,2730,3020,3260,3440,3470,3560,3600,3690,3760,3910,3840,3970,4110,4510,4840,5160,5700,6510,6800,7150,8510,9560,10510,11040,11740,12390,13260,14370,
Peru,290,300,340,380,450,490,470,480,500,560,630,740,930,1080,1070,1020,870,910,1020,1170,1130,920,890,840,840,950,790,790,840,1210,1420,1550,1770,1960,2150,2280,2150,2030,1970,1900,1960,2080,2280,2540,2810,3210,3790,3970,4410,4970,5790,6420,6530,6340,6120,6060,6530,
Philippines,220,190,170,180,200,210,220,240,220,220,220,260,320,380,420,450,500,590,700,750,740,680,570,520,540,600,660,700,720,730,770,820,920,1020,1160,1230,1200,1180,1220,1220,1180,1220,1340,1430,1540,1770,2060,2260,2460,2610,2970,3290,3450,3510,3570,3650,3830,
Papua New Guinea,110,120,120,140,150,160,180,200,220,240,270,350,440,490,470,470,570,640,710,720,650,610,600,610,640,690,790,800,740,790,840,980,1030,950,930,850,720,630,570,510,480,470,540,650,770,1070,1410,1550,1730,1890,2250,2400,2970,2900,2670,2500,2530,
Puerto Rico,820,900,960,1060,1160,1240,1370,1560,1750,1910,2100,2380,2590,2660,2650,2740,2980,3390,3720,3890,3770,3670,3970,4280,4750,5350,5860,6050,5950,6300,6760,7100,7370,7820,8130,8510,8690,9590,10550,10950,11250,12170,14260,14750,15030,15860,16360,16580,16920,17670,18680,19170,19280,19420,19710,20200,21100,
Portugal,410,430,470,520,570,640,730,790,950,1070,1270,1700,2070,2210,2330,2430,2530,2870,3360,3430,3230,2830,2520,2530,3080,4160,5640,6320,7140,8190,9870,10100,10450,11220,12080,12350,12170,12240,12140,11800,11730,13230,16120,18550,19330,20770,22440,22840,22960,22660,21150,21340,21260,20440,19950,19930,21680,
Post-demographic dividend,1528.52992,1619.958502,1743.073021,1890.770953,2060.786013,2192.253947,2404.017827,2612.710788,2764.703513,3022.978786,3475.848496,4255.062758,4961.428962,5549.089815,5873.602599,6298.695694,7193.08836,8604.92114,9907.873494,10287.14535,9819.058237,9459.232235,9848.895232,10334.45144,11651.95863,14006.84205,17081.94922,18008.78449,18826.5378,19544.52771,21182.14823,21647.65986,22734.7822,24266.20007,25422.55619,25558.28163,24616.2768,24947.52285,25988.59065,25995.062,25853.45134,27888.42155,31856.44686,35094.80445,36783.81477,38127.0769,39674.8913,39050.95655,40154.51787,41501.08285,42782.80307,43508.47636,43661.41676,42431.53007,41581.3001,41918.37903,44713.15897,
French Polynesia,,,,,,2090,2520,2430,2400,2640,2660,3320,4580,5100,5590,5890,6760,7980,9140,9600,9130,8190,8030,8340,10250,13000,15350,14940,15270,16030,17260,17400,17470,17910,17780,17250,16660,16170,15760,,,,,,,,,,,,,,,,,,,
Rwanda,40,40,40,40,40,50,50,50,60,60,60,70,80,100,130,160,180,230,270,280,270,260,250,260,290,320,350,350,350,320,340,310,150,210,220,260,260,260,250,230,230,220,250,290,330,380,460,520,570,620,670,700,720,730,720,730,780,
South Asia,86.74519298,93.99826791,104.6185859,109.4410421,105.5929621,106.8008489,104.1537162,111.692391,118.274329,122.1613077,125.9636112,142.3780939,164.8733677,187.8204578,182.2229219,185.8493908,205.4484972,224.4779604,269.6997361,296.1001719,290.1865562,285.1558089,282.7980019,292.0695036,310.113291,346.5473699,383.9970678,381.1765539,378.0467703,349.8699457,351.1265899,336.79004,350.4801235,376.2110405,407.3979478,415.4717219,416.7929448,436.7652413,444.2056382,451.6603738,457.9359156,511.2542034,595.675811,684.6522953,760.3542571,871.8267534,953.567328,1058.626704,1153.328134,1283.651211,1397.691117,1444.85374,1489.413625,1534.875447,1624.444171,1746.457812,1925.42621,
Saudi Arabia,,,,,,,,,930,1000,1150,1600,3160,4500,8020,8770,8890,11170,14270,16530,13970,11320,10130,9010,9140,7700,7630,7080,7390,8310,8500,8050,7720,7810,8030,8230,8010,7650,8150,8520,8370,9480,11040,12650,14160,15800,18460,17900,18750,20880,24040,25440,25550,23710,21610,19990,21540,
Sudan,140,140,140,140,140,140,150,160,170,180,190,220,290,380,440,480,460,490,480,500,470,430,380,390,540,790,780,720,530,450,340,310,320,400,400,380,340,330,340,340,370,420,490,590,740,920,1130,1180,1260,1480,1710,1210,1820,1980,2130,2390,1560,
Singapore,490,530,510,540,590,660,750,850,970,1090,1280,1600,2090,2660,2930,3020,3370,3990,4730,5380,5680,6170,6930,7100,7330,8080,9320,10320,11450,12970,15270,17710,20780,23630,25620,27730,24010,23360,23680,22130,22000,23440,26150,28820,32550,36010,37230,37320,44930,48260,51720,54470,56370,53120,52520,54200,58770,
Sierra Leone,,,150,160,150,140,140,150,160,160,170,190,220,250,220,210,240,310,370,360,350,300,290,240,170,180,170,210,190,170,130,160,160,180,210,200,170,150,140,150,200,270,280,290,300,360,420,440,420,430,530,660,700,550,490,520,500,
El Salvador,,,,,,300,300,300,310,320,350,380,440,480,530,610,710,780,760,730,680,670,690,720,760,820,860,860,900,930,1060,1170,1290,1480,1590,1690,1750,1810,1900,1950,2000,2130,2270,2420,2570,2680,2870,2820,2890,3060,3210,3350,3400,3440,3510,3600,3820,
Somalia,70,70,70,70,80,90,90,90,100,100,120,140,130,190,180,160,130,110,100,110,110,100,110,120,130,150,150,150,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (excluding high income),120.8625331,127.7960291,133.6430925,141.2355445,146.6678141,150.4557613,157.0050076,170.2668184,191.6418889,204.312482,217.7827479,251.9845131,329.7176592,385.0992246,413.3389742,425.027158,447.1184098,522.866938,622.5878729,721.4997098,761.9599086,748.7355446,664.8263981,607.9568519,593.7201408,636.7585149,698.2757788,693.1249606,659.9100522,641.0127896,613.6684909,579.0444093,554.7694354,570.6260177,592.2649151,605.3962031,570.7760684,559.0573136,551.0950723,543.9063529,552.4550825,601.7114919,731.2980894,893.7791465,1039.513399,1169.477394,1321.468358,1363.943435,1429.635128,1515.609059,1659.357838,1729.174752,1802.77643,1719.931644,1570.933181,1500.425923,1505.710432,
Sub-Saharan Africa,120.8876891,127.8241186,133.6728294,141.2622287,146.7012245,150.485012,157.0319315,170.2862239,191.6582047,204.3374578,217.8188733,252.0393633,329.7794071,385.1636441,413.4029666,425.0787692,447.2206586,523.0578166,622.8137376,721.7277292,762.1678105,748.9209158,665.0323062,608.2137216,594.0108083,637.1167832,698.7275321,693.6507369,660.4997538,641.6209624,614.3763663,579.8056549,555.5545473,571.3899017,593.0524643,606.2464918,571.6236511,559.897593,551.9213361,544.7156436,553.2107949,602.5078927,732.2568249,894.9030811,1040.771342,1170.659665,1322.50603,1364.857312,1430.539143,1516.543019,1660.308276,1730.216286,1803.859211,1721.085995,1572.068942,1501.587918,1506.976146,
Suriname,270,230,250,370,450,510,520,530,570,610,690,770,980,1320,1420,1640,1930,2170,2290,2640,2510,2320,2340,2380,2460,2520,2980,2230,1420,1140,1040,970,1100,1320,1630,1840,2050,1950,1970,1670,1930,2200,2820,3320,4040,5050,6330,6960,7620,7920,8550,8950,9260,8690,6610,5170,4990,
Sweden,2310,2490,2740,2960,3190,3460,3770,4100,4500,4890,5670,7050,8580,10160,10720,11290,12460,14790,17300,17530,15760,13550,13020,13080,15330,19360,24190,26090,27760,29110,31340,28200,27690,28070,30390,31380,31110,30970,31280,29450,28810,32460,39450,45410,48820,51980,55350,51860,53870,55660,58210,60970,61040,57750,54030,52330,55040,
Eswatini,,,,,,,,,,,300,370,470,,,,,,,,,,,,,,,,1290,1350,1570,1580,1570,1820,1930,1960,1740,1730,1670,1700,1570,1700,2160,3080,3300,3480,3360,3320,3460,4080,4550,4690,4340,3920,3640,3580,3850,
Seychelles,290,310,330,320,360,350,350,330,350,410,480,630,770,870,910,870,1170,1760,2110,2300,2290,2190,2220,2490,2740,3200,3970,4540,5030,5200,6000,6390,6530,6460,6740,7330,7320,7290,7290,7310,6850,7490,9280,11140,12580,12270,11130,10220,10190,11060,11540,12650,13290,14020,13830,14220,15600,
Syrian Arab Republic,250,230,250,270,250,280,300,370,360,410,500,500,710,970,1090,1050,1170,1280,1570,1760,1750,1710,1650,1700,1480,1270,1190,890,910,990,1110,1070,970,900,850,850,920,890,970,1110,1210,1240,1380,1510,1620,1820,,,,,,,,,,,,
Chad,110,110,110,120,120,130,130,140,140,140,150,160,190,230,220,230,240,220,240,230,210,190,180,210,210,210,270,270,270,290,330,240,220,210,200,210,220,200,180,190,190,210,330,470,530,630,700,830,910,880,960,970,980,880,730,640,670,
East Asia & Pacific (IDA & IBRD countries),72.12125978,78.44659585,87.20152499,98.79818153,106.8916765,100.8207717,97.61750746,109.3833013,122.5205966,125.9707803,133.0330516,160.6290721,188.0134681,218.7529636,213.9289911,227.5185299,241.2063173,266.4131772,294.5245691,311.669302,311.1176422,307.1405645,325.4606008,348.2310109,369.8387692,386.3337715,406.0735,407.8033453,423.385126,453.9128841,504.0138942,547.4188224,614.6099037,706.9811309,822.8543417,891.935983,837.4350122,861.8621607,923.995588,996.3994093,1078.732636,1225.383724,1441.073884,1657.044444,1917.067076,2300.321906,2802.494544,3253.294996,3803.629983,4392.254522,5133.655235,5774.862046,6272.984768,6524.268913,6716.885113,7023.047149,7681.388747,
Togo,90,90,100,110,120,120,130,140,130,130,140,170,220,260,270,290,330,350,420,390,320,250,230,230,250,310,390,400,400,400,420,330,310,300,310,350,330,310,310,290,290,340,390,420,420,430,480,530,560,610,590,620,640,640,610,590,650,
Thailand,110,120,130,140,160,170,180,190,210,210,220,260,330,380,420,450,530,610,710,760,760,760,790,790,830,950,1160,1320,1490,1660,1880,2130,2400,2740,2950,2680,2080,1980,1980,1960,1990,2180,2530,2790,3100,3530,3970,4140,4580,4950,5520,5720,5760,5710,5690,5950,6610,
Latin America & the Caribbean (IDA & IBRD countries),,,,,477.8866243,488.5004127,523.2921636,556.2767977,590.6825092,647.5549172,713.3336483,873.9229872,1110.984844,1281.207293,1349.14041,1390.439213,1517.343054,1788.686459,2111.628047,2275.536308,2153.434375,1888.572735,1789.521726,1755.078237,1823.697196,1954.638492,2070.644927,2179.112736,2287.629217,2660.521764,2961.559033,3200.683633,3432.167165,3655.001843,3961.707438,4258.180833,4240.844853,4023.519417,4107.188661,3979.878033,3715.379256,3691.843681,3995.64796,4485.896958,5183.782666,6069.102304,7018.643405,7189.45857,7994.169663,8825.722244,9768.224512,10167.97684,10041.26477,9189.876769,8448.873749,8302.569065,8625.063941,
South Asia (IDA & IBRD),86.74519298,93.99826791,104.6185859,109.4410421,105.5929621,106.8008489,104.1537162,111.692391,118.274329,122.1613077,125.9636112,142.3780939,164.8733677,187.8204578,182.2229219,185.8493908,205.4484972,224.4779604,269.6997361,296.1001719,290.1865562,285.1558089,282.7980019,292.0695036,310.113291,346.5473699,383.9970678,381.1765539,378.0467703,349.8699457,351.1265899,336.79004,350.4801235,376.2110405,407.3979478,415.4717219,416.7929448,436.7652413,444.2056382,451.6603738,457.9359156,511.2542034,595.675811,684.6522953,760.3542571,871.8267534,953.567328,1058.626704,1153.328134,1283.651211,1397.691117,1444.85374,1489.413625,1534.875447,1624.444171,1746.457812,1925.42621,
Sub-Saharan Africa (IDA & IBRD countries),120.8876891,127.8241186,133.6728294,141.2622287,146.7012245,150.485012,157.0319315,170.2862239,191.6582047,204.3374578,217.8188733,252.0393633,329.7794071,385.1636441,413.4029666,425.0787692,447.2206586,523.0578166,622.8137376,721.7277292,762.1678105,748.9209158,665.0323062,608.2137216,594.0108083,637.1167832,698.7275321,693.6507369,660.4997538,641.6209624,614.3763663,579.8056549,555.5545473,571.3899017,593.0524643,606.2464918,571.6236511,559.897593,551.9213361,544.7156436,553.2107949,602.5078927,732.2568249,894.9030811,1040.771342,1170.659665,1322.50603,1364.857312,1430.539143,1516.543019,1660.308276,1730.216286,1803.859211,1721.085995,1572.068942,1501.587918,1506.976146,
Trinidad and Tobago,640,750,800,820,760,770,790,810,830,870,1000,1200,1500,2170,2530,2810,3360,3940,5140,6060,6710,6120,6030,5900,5090,4280,3930,3630,3710,3890,4420,4080,3880,3970,4230,4500,4620,4890,5400,6070,6760,8070,9700,11190,13280,15000,17350,16200,16460,14970,16840,18680,18470,19070,16620,15900,16240,
Tunisia,,,,,,220,250,260,270,310,400,460,610,760,810,850,940,1130,1360,1420,1280,1180,1160,1150,1140,1270,1330,1290,1410,1460,1680,1660,1710,1790,1970,2120,2150,2260,2270,2240,2180,2460,2900,3160,3330,3530,3850,4070,4130,3990,4100,4160,4160,3970,3760,3520,3500,
Turkey,,,,,,470,520,560,560,530,560,640,860,1110,1310,1410,1520,1820,1860,1860,1570,1400,1310,1310,1450,1740,1860,1920,2310,2590,2940,3140,2680,2850,2920,3190,3430,3580,4300,3550,3560,3910,5220,6760,7820,8880,9780,9580,10430,11230,11870,12510,12560,11960,11180,10890,10380,
Upper middle income,,,,,223.2537178,222.6071254,231.6224567,252.7476575,274.0205027,291.066724,318.0808929,389.2682592,485.8420226,577.5584379,607.9671646,633.0095314,675.0536638,785.8944637,889.8084605,953.0362295,938.9077762,873.0359342,872.4104854,903.2346418,957.791544,1027.720726,1078.548968,1095.935824,1171.482172,1300.421006,1377.661917,1443.014484,1501.118015,1615.024631,1765.014737,1892.683619,1856.627409,1815.632393,1900.688458,1905.256049,1936.435581,2106.901899,2457.545109,2895.129451,3406.404955,4078.937739,4865.84154,5241.587001,5903.548195,6606.870612,7551.784386,8247.834017,8563.480557,8317.119074,8110.979203,8239.323691,8859.404784,
Uruguay,580,610,660,680,720,640,610,670,820,850,870,1060,1370,1620,1490,1420,1630,2150,2870,3650,3290,2190,1740,1510,1780,2210,2600,2730,2840,3180,3830,4350,5040,5530,6160,6970,7240,7260,7060,6500,5140,4250,4130,4720,5390,6390,7710,8810,10440,12060,13370,15320,15830,15640,14980,14900,15650,
United States,3280,3410,3610,3880,4190,4370,4740,5070,5230,5620,6280,7290,7980,8510,8960,9590,10760,12200,13380,14360,14220,14570,16210,17460,19110,21390,23490,23770,24060,24270,25680,26390,27650,29040,30270,31270,32030,33670,35960,36710,37310,39770,43510,46190,47880,48500,48980,47730,48990,50570,52760,53940,55850,56700,57170,59160,62850,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,590,570,580,600,610,620,650,630,560,450,420,460,530,610,770,980,1150,1340,1530,1740,1970,2210,2440,2660,2350,2020,
St. Vincent and the Grenadines,180,160,170,180,180,170,190,190,210,220,300,310,340,370,390,460,560,710,830,950,1030,1090,1200,1340,1450,1660,1950,2030,2110,2230,2540,2680,2640,2890,3000,3070,3190,3310,3470,3650,3950,4380,4730,4960,5470,5620,6260,6320,6090,6130,6400,6420,6780,7380,7290,7400,7940,
"Venezuela, RB",960,990,950,890,820,840,900,910,980,1010,1120,1340,1720,2140,2470,2600,2790,3180,3610,4100,4050,3780,3640,3520,3610,3350,3400,2560,2670,2690,2870,2850,2740,3040,3100,3470,3420,3570,4120,4600,3990,3490,4110,4980,6130,7630,9400,10380,11810,11980,12710,11970,13080,,,,,
World,480.6251549,507.2034268,543.416928,585.0733663,627.5053628,654.4983056,702.5857395,757.5908211,798.7164641,861.4125956,971.5124209,1174.780999,1376.520093,1544.017373,1626.270753,1721.967507,1929.337616,2278.043737,2605.754408,2711.452257,2582.241253,2451.592963,2496.862465,2576.999295,2841.710626,3312.724366,3909.589297,4059.294627,4208.493602,4355.651669,4665.886845,4743.318715,4936.609149,5235.161992,5484.765878,5531.132001,5298.423345,5303.678783,5487.316811,5462.259927,5421.101518,5821.668332,6633.917824,7350.692955,7841.278639,8355.138603,8949.06849,8980.751899,9410.752043,9896.962764,10492.27996,10867.51689,10987.42504,10646.55718,10382.51379,10432.62289,11097.64012,
South Africa,460,490,520,560,590,650,690,740,800,870,920,1110,1400,1610,1560,1500,1610,1940,2500,2880,2770,2520,2460,2130,1990,2210,2670,2830,2860,3000,3250,3380,3510,3640,3660,3600,3230,3130,3070,2860,2670,2920,3720,4990,5630,5910,5980,5850,6190,6990,7570,7340,6750,6050,5470,5410,5750,
Zambia,190,190,210,270,280,330,370,410,450,440,440,450,580,590,570,500,490,510,610,690,610,500,420,340,250,260,330,400,430,390,360,380,350,380,400,400,360,350,330,350,360,410,460,560,720,900,1180,1280,1340,1420,1700,1760,1800,1580,1380,1300,1430,
Zimbabwe,270,270,260,280,280,300,300,340,400,410,450,530,670,730,710,650,650,730,900,1060,1040,960,830,740,690,700,810,840,860,850,700,640,630,620,690,700,620,570,510,540,490,440,450,460,440,420,330,420,630,920,1110,1210,1260,1280,1290,1370,1790,
