country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,280,280,310,310,320,300,300,320,330,360,390,460,550,590,620,690,850,1060,1250,1350,1330,1280,1280,1210,1220,1240,1300,1250,1330,1380,1560,1740,2050,2350,2540,2660,2570,2330,2340,2330,2370,2370,2620,2990,3500,4120,4700,5130,5610,6320,7290,7910,8190,7330,6460,5930,6190,
Costa Rica,360,350,350,370,390,410,440,470,520,570,630,760,880,970,1050,1250,1480,1740,1950,1420,1020,940,1110,1240,1440,1600,1650,1660,1750,1950,2340,2720,2960,3170,3220,3330,3380,3440,3550,3660,3750,4010,4360,4620,5030,5640,6370,6490,7180,8000,9150,9740,10090,10400,10770,11090,11510,
Caribbean small states,,,,,,,660.7197561,691.4749276,742.6033568,785.1677225,932.0965588,1033.629463,1220.285666,1544.554955,1570.04771,1691.39192,1856.208981,2030.79959,2344.76389,2609.203198,2775.467367,2638.016064,2592.46932,2550.584658,2469.880028,2526.317344,2734.191254,2770.23161,2781.381559,2790.789382,2902.061581,2947.919344,2991.147958,3352.769472,3652.58649,3798.620858,4054.21165,4529.854182,4845.211146,4981.862835,5188.041004,5654.141078,6283.118997,6839.549052,7565.286661,8233.990079,9030.88737,8678.09598,8780.740922,8627.222597,9314.720062,9732.83197,9669.409831,9690.478126,9077.97813,9015.267007,9368.938696,
Cuba,,,,,,,,,,,850,1040,1240,1500,1550,1600,1790,1990,2140,2430,2340,2180,2310,2310,2390,2490,2780,2750,2650,2340,2130,1870,2140,2550,2710,2500,2240,2400,2620,2760,2820,3100,3490,3960,4530,5000,5460,5520,5610,5930,6280,6640,6840,7230,,,,
Germany,,,,,,,,,,,3610,4680,5800,6730,7140,7680,8880,11070,13030,12560,11140,10040,9890,9850,11260,14260,18650,19790,21340,22920,25860,25990,27530,29560,30910,30200,27990,26880,26210,24790,23710,26230,31730,35880,38370,40700,43870,43810,44790,47360,46710,47410,47820,46020,44360,43710,47180,
Denmark,,,,,,,,,3280,3650,4310,5580,6800,8080,8960,9780,11170,13560,15090,14180,12860,11710,11520,11840,14070,17760,22130,23050,24370,25540,28700,28570,30360,32560,34770,35150,33460,33060,32580,31410,30850,34750,42640,49610,53540,55740,60390,60090,61220,61990,61650,63200,63670,60510,57710,56140,60190,
Dominican Republic,220,240,260,230,250,250,250,280,340,370,430,520,610,710,780,830,900,1030,1140,1210,1240,1240,1300,1100,1030,940,920,910,870,1040,1340,1610,1740,1960,2170,2360,2450,2540,2680,2740,2900,2660,2590,3080,3680,4460,4780,4940,5340,5540,5790,6020,6310,6480,6640,6770,7370,
Algeria,190,230,240,250,230,250,280,310,330,320,440,530,710,910,1060,1150,1360,1680,2020,2240,2300,2220,2280,2400,2600,2820,2770,2560,2370,2000,1900,1730,1620,1550,1520,1510,1540,1530,1590,1670,1730,1930,2250,2710,3100,3600,4210,4290,4480,4600,5170,5510,5500,4850,4380,3930,4060,
East Asia & Pacific (excluding high income),71.30731456,77.57057472,86.23502202,97.70743869,105.7153081,99.70946375,96.53831805,108.1715412,121.1619746,124.573625,131.5548523,158.8411641,185.9183989,216.3134898,211.5446253,224.9870864,238.5310922,263.4682141,291.2748195,308.2334912,307.6935854,303.763392,321.8815838,344.4044691,365.7844435,382.1143046,401.6550953,403.3777987,418.7965943,448.9913987,498.5372731,541.4544279,607.900932,699.2589795,813.8743824,882.2237205,828.3410549,852.5239951,913.9982337,985.624242,1067.065789,1212.136256,1425.50121,1639.15817,1896.426222,2275.624076,2772.509775,3218.597378,3763.185326,4345.675796,5079.361061,5713.950246,6206.984489,6455.793259,6646.583233,6949.761646,7601.40628,
Early-demographic dividend,,,169.6811458,180.6651787,184.7511396,188.3766942,194.2933069,207.9443705,219.4441041,232.1950061,249.1689344,296.9324385,379.7831359,457.0012436,501.4137947,515.2277076,549.7618907,640.9104355,757.5574845,856.7824207,838.5758368,779.8136853,753.2939993,754.7288356,780.0010943,819.031294,850.4531052,821.6205724,853.3745624,891.4922145,980.4280533,1034.338493,1087.682055,1112.059875,1164.377549,1202.022443,1171.837892,1184.367302,1248.475536,1264.733038,1232.871839,1309.537055,1484.407514,1697.253165,1904.591721,2154.363164,2414.306297,2499.891613,2726.515095,2969.731185,3274.560331,3412.132426,3449.625819,3371.037821,3334.80439,3375.872247,3559.929184,
