country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,year_2018
Portugal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Paraguay,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Romania,1300,1400,1400,1500,1700,1900,2100,2200,2400,2500,2600,2600,2600,2500,2400,2000,1900,1700,1500,1300,1100,860,630,500,500,200,200,100,100
Rwanda,11000,13000,14000,15000,15000,16000,18000,20000,23000,25000,26000,27000,27000,27000,26000,26000,25000,24000,23000,22000,21000,20000,19000,18000,17000,15000,14000,13000,12000
Sudan,200,200,500,500,500,500,500,570,680,790,920,1100,1200,1400,1600,1800,2000,2300,2500,2700,2900,3100,3300,3500,3700,3800,4000,4100,4200
Senegal,500,650,830,1000,1300,1600,1900,2200,2600,3000,3400,3800,4100,4500,4800,5100,5400,5500,5600,5700,5700,5700,5700,5500,5400,5100,4900,4700,4500
Sierra Leone,1100,1400,1700,2100,2400,2800,3200,3500,3900,4300,4700,5200,5700,6200,6600,7000,7300,7500,7600,7700,7800,7800,7700,7700,7700,7400,7200,6900,6600
El Salvador,100,200,200,200,500,500,500,500,500,520,570,620,640,660,670,690,720,740,760,770,770,770,760,750,710,680,660,630,610
Somalia,200,200,500,500,500,520,640,790,950,1100,1300,1400,1600,1700,1800,1900,2000,2000,2000,2000,2000,1900,1900,1800,1700,1600,1500,1400,1300
South Sudan,1400,1800,2300,2800,3400,4000,4700,5500,6400,7200,8100,8900,9700,11000,11000,12000,13000,13000,14000,15000,15000,15000,16000,16000,16000,16000,16000,16000,16000
Suriname,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,100,100,100,100,100,100,100,100
Eswatini,200,500,680,1200,1800,2600,3400,4300,5200,6100,7100,8000,9000,9900,11000,11000,12000,12000,13000,13000,13000,13000,13000,13000,13000,12000,12000,12000,11000
Chad,3000,3900,4900,5900,7000,8200,9400,11000,12000,13000,14000,15000,16000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000,17000,17000,17000,16000,16000
Togo,1300,1800,2400,3200,4100,5200,6300,7400,8500,9600,11000,12000,13000,14000,14000,15000,16000,16000,16000,16000,16000,16000,16000,15000,15000,14000,14000,13000,12000
Thailand,500,850,1700,2900,4200,5700,7100,8500,9900,11000,12000,13000,13000,14000,14000,14000,14000,13000,12000,12000,11000,9900,9000,7900,6900,5900,4900,4000,3200
Tajikistan,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,530,540
Tanzania,27000,34000,42000,51000,60000,69000,77000,86000,93000,100000,110000,110000,120000,120000,130000,130000,130000,130000,130000,120000,120000,110000,110000,100000,100000,98000,97000,95000,92000
Uganda,73000,82000,92000,100000,110000,120000,120000,130000,140000,140000,140000,140000,150000,150000,150000,150000,150000,150000,140000,140000,140000,140000,130000,130000,120000,120000,110000,110000,100000
Ukraine,100,100,100,100,200,200,500,500,550,670,760,770,810,860,900,940,1000,1200,1100,1100,1100,1100,1100,1100,1000,990,960,910,850
Uruguay,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Uzbekistan,500,500,500,500,510,550,590,620,660,700,730,760,800,830,1400,1700,2000,2200,2300,2500,2700,2900,3200,3500,3800,4300,4900,5400,6000
Vietnam,100,100,100,100,200,500,500,590,800,1000,1300,1600,1900,2200,2500,2800,3000,3100,3300,3600,3800,4100,4400,4600,4800,5000,5000,5100,5000
World,410000,520000,640000,770000,910000,1100000,1200000,1400000,1500000,1600000,1800000,1900000,2000000,2100000,2100000,2200000,2200000,2200000,2200000,2200000,2200000,2100000,2100000,2000000,2000000,1900000,1800000,1800000,1700000
"Yemen, Rep.",100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500
South Africa,3200,5900,10000,17000,28000,42000,60000,81000,110000,130000,160000,180000,210000,230000,250000,270000,290000,300000,310000,310000,320000,310000,310000,300000,300000,290000,280000,270000,260000
Zambia,18000,24000,29000,35000,41000,47000,53000,59000,65000,70000,74000,78000,82000,85000,86000,85000,84000,83000,80000,78000,77000,76000,74000,72000,71000,69000,67000,65000,62000
Zimbabwe,35000,46000,57000,69000,80000,91000,100000,110000,120000,130000,140000,140000,140000,150000,140000,140000,140000,140000,140000,130000,130000,120000,120000,110000,100000,99000,94000,89000,84000
